Report ID,Date,Site,Location,Activity,Report Type,Description,SIF Potential,Confidence,Life Saving Rule,Barrier Failure,Review Status
OIL-2026-0011,2026-04-28,Shalmari Workover Rig WR-05,Rig Floor & Wellhead Area,Drilling & Well Construction,Near Miss,"While hoisting drill collars on Rig WR-05, an unlatched 4-inch casing tong jaw weighing 18 kg slipped from the derrick and fell 12 meters, landing 1.5 meters from the floor roughneck in the line of fire.",YES,92.4%,Hot Work,Standard Operational Anomaly,NOT_REQUIRED
OIL-2026-0012,2026-08-14,Dikom Pipeline Manifold & Pigging Area,Site Facility,Routine Inspection & Housekeeping,Unsafe Act,Technician walked across non-operational asphalt parking lot without wearing clear safety spectacles in broad daylight.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0013,2026-07-17,Moran Gas Gathering Station (GGS-1),Gas Gathering Station (GGS),Mechanical Maintenance & Piping,Near Miss,"During scheduled maintenance of crude booster pump P-102B at Moran GGS, technician began unbolting the pump casing before verifying that the 415V electrical breaker had been locked out and tagged. The circuit was still energized.",YES,93.8%,Energy Isolation,LOTO / Energy Isolation not verified,NOT_REQUIRED
OIL-2026-0014,2026-04-22,Digboi Production Facility & Tank Farm,Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,"One fluorescent ceiling light tube in the field instrumentation tool room was flickering, causing slightly dim lighting over the workbench.",NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0015,2026-03-16,Moran Gas Gathering Station (GGS-1),Crude Storage & Separation Unit,Hot Work & Fabrication,Near Miss,Welder initiated hot work arc welding on test separator skid while flammable hydrocarbon vapors were venting from nearby atmospheric vent pipe. Fire blanket was not deployed.,YES,88.2%,Hot Work,Hot Work Controls & Fire Watch Deficient,APPROVED
OIL-2026-0016,2026-03-31,Kusijan Water Injection Plant,Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,Emergency eye wash station dust covers were missing in the water testing laboratory. Water flow testing confirmed unit operates normally.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0017,2026-01-27,Digboi Production Facility & Tank Farm,Crude Storage & Separation Unit,Vessel & Tank Cleaning,Near Miss,Contract cleaning crew entered Crude Storage Tank T-04 through bottom manhole without conducting continuous multi-gas atmospheric testing. Oxygen level was later tested at 18.2% and standby watch was absent.,NO,72.8%,Confined Space,Confined Space Entry Protocol Violated,PENDING_REVIEW
OIL-2026-0018,2026-01-28,Duliajan Central Workshop,Site Facility,Crane & Mechanical Lifting,Near Miss,"During offloading of casing pipes from trailer, lifting shackle pin backed out due to missing split pin. One 2-ton casing pipe slipped out of the sling assembly, narrowly missing the banksman.",YES,88.2%,Safe Mechanical Lifting,Rigging & Sling Integrity Compromised,NOT_REQUIRED
OIL-2026-0019,2026-06-07,Naharkatiya Drilling Rig D-14,Site Facility,Crane & Mechanical Lifting,Unsafe Condition,Mobile 25-ton hydraulic crane was lifting a 6-ton mud pump skid using a severely frayed synthetic webbing sling showing cut fibers and without third-party load test certification. Crew was standing directly under suspended load.,YES,88.2%,Safe Mechanical Lifting,Rigging & Sling Integrity Compromised,NOT_REQUIRED
OIL-2026-0020,2026-07-09,Digboi Production Facility & Tank Farm,Crude Storage & Separation Unit,Mechanical Maintenance & Piping,Unsafe Act,Fitter opened high-pressure drain valve on separator V-301 without depressurizing the manifold. 85 psi trapped hydrocarbon condensate escaped near operators. No LOTO applied on upstream isolation valve.,YES,96.6%,Energy Isolation,LOTO / Energy Isolation not verified,NOT_REQUIRED
OIL-2026-0021,2026-08-28,Digboi Production Facility & Tank Farm,Crude Storage & Separation Unit,Vessel & Tank Cleaning,Near Miss,Contract cleaning crew entered Crude Storage Tank T-04 through bottom manhole without conducting continuous multi-gas atmospheric testing. Oxygen level was later tested at 18.2% and standby watch was absent.,NO,72.8%,Confined Space,Confined Space Entry Protocol Violated,PENDING_REVIEW
OIL-2026-0022,2026-01-24,Duliajan Central Workshop,Site Facility,Crane & Mechanical Lifting,Near Miss,"During offloading of casing pipes from trailer, lifting shackle pin backed out due to missing split pin. One 2-ton casing pipe slipped out of the sling assembly, narrowly missing the banksman.",YES,88.2%,Safe Mechanical Lifting,Rigging & Sling Integrity Compromised,NOT_REQUIRED
OIL-2026-0023,2026-06-13,Duliajan Central Workshop,Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,Loose computer monitor power cable trailing across walkway behind reception desk in field office administration room.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0024,2026-08-18,Duliajan Central Workshop,Central Maintenance Workshop,Routine Inspection & Housekeeping,Unsafe Condition,"Small puddle of rainwater and spilled detergent noticed near the workshop main entrance hallway, posing minor slipping hazard to office staff.",NO,75.6%,General UA/UC & Housekeeping,Standard Operational Anomaly,NOT_REQUIRED
OIL-2026-0025,2026-02-22,Naharkatiya Drilling Rig D-14,Rig Floor & Wellhead Area,Drilling & Well Construction,Unsafe Condition,Blowout preventer (BOP) hydraulic control accumulator low-pressure audible alarm buzzer was silenced and wire disconnected on the remote control panel on rig floor.,YES,98.0%,Bypassing Safety Controls,Gas Monitoring / Detection System Failure,NOT_REQUIRED
OIL-2026-0026,2026-06-22,Digboi Production Facility & Tank Farm,Crude Storage & Separation Unit,Mechanical Maintenance & Piping,Unsafe Act,Fitter opened high-pressure drain valve on separator V-301 without depressurizing the manifold. 85 psi trapped hydrocarbon condensate escaped near operators. No LOTO applied on upstream isolation valve.,YES,96.6%,Energy Isolation,LOTO / Energy Isolation not verified,APPROVED
OIL-2026-0027,2026-01-24,Madhuban EPS & Separation Plant,Site Facility,Hot Work & Fabrication,Unsafe Act,Fabrication crew commenced cutting torch operation on pipe support bracket 4 meters from an active hydrocarbon condensate drainage trench without conducting explosive gas test (LEL) and with no fire watch present.,NO,72.8%,Hot Work,Hot Work Controls & Fire Watch Deficient,PENDING_REVIEW
OIL-2026-0028,2026-03-04,Jorajan Wellhead Installation W-22,Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,Muster point directional sign board paint was faded and weathered by sunlight near the perimeter fence gate.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0029,2026-01-29,Jorajan Wellhead Installation W-22,Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,Muster point directional sign board paint was faded and weathered by sunlight near the perimeter fence gate.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0030,2026-03-16,Duliajan Central Workshop,Site Facility,Crane & Mechanical Lifting,Near Miss,"During offloading of casing pipes from trailer, lifting shackle pin backed out due to missing split pin. One 2-ton casing pipe slipped out of the sling assembly, narrowly missing the banksman.",YES,88.2%,Safe Mechanical Lifting,Rigging & Sling Integrity Compromised,NOT_REQUIRED
OIL-2026-0031,2026-04-07,Duliajan Central Workshop,Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,Loose computer monitor power cable trailing across walkway behind reception desk in field office administration room.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0032,2026-04-08,Naharkatiya Drilling Rig D-14,Rig Floor & Wellhead Area,Scaffolding & Rigging,Unsafe Act,Derrickman was observed working on the monkey board at 28 meters elevation during pipe racking with his full-body safety harness lifeline unclipped from the certified anchor point.,YES,92.4%,Working at Height,Fall Protection / Guardrails Inadequate,NOT_REQUIRED
OIL-2026-0033,2026-03-13,Moran Gas Gathering Station (GGS-1),Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,Inspection tag on 5 kg CO2 fire extinguisher in the lunchroom was expired by two weeks. Pressure gauge indicator was within normal green range.,NO,72.8%,Hot Work,Hot Work Controls & Fire Watch Deficient,PENDING_REVIEW
OIL-2026-0034,2026-08-31,Digboi Production Facility & Tank Farm,Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,"One fluorescent ceiling light tube in the field instrumentation tool room was flickering, causing slightly dim lighting over the workbench.",NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0035,2026-06-18,Moran Gas Gathering Station (GGS-1),Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,Inspection tag on 5 kg CO2 fire extinguisher in the lunchroom was expired by two weeks. Pressure gauge indicator was within normal green range.,NO,72.8%,Hot Work,Hot Work Controls & Fire Watch Deficient,PENDING_REVIEW
OIL-2026-0036,2026-06-08,Duliajan Central Workshop,Electrical Switchgear & MCC Room,Electrical Maintenance,Near Miss,Electrician was replacing contacts on 11kV busbar in Duliajan Central Substation without applying earthing switch or verifying zero energy state with a calibrated voltage detector.,YES,95.2%,Energy Isolation,Standard Operational Anomaly,NOT_REQUIRED
OIL-2026-0037,2026-07-09,Madhuban EPS & Separation Plant,Site Facility,Mechanical Maintenance & Piping,Unsafe Act,Control room operator installed a manual mechanical lock on emergency shutdown valve ESDV-101 to prevent recurring production line shutdown without obtaining signed Management of Change (MOC) bypass permit.,NO,72.8%,Bypassing Safety Controls,Permit to Work & Authorization Violation,PENDING_REVIEW
OIL-2026-0038,2026-02-14,Shalmari Workover Rig WR-05,Rig Floor & Wellhead Area,Drilling & Well Construction,Near Miss,"While hoisting drill collars on Rig WR-05, an unlatched 4-inch casing tong jaw weighing 18 kg slipped from the derrick and fell 12 meters, landing 1.5 meters from the floor roughneck in the line of fire.",YES,92.4%,Hot Work,Standard Operational Anomaly,NOT_REQUIRED
OIL-2026-0039,2026-08-28,Dikom Pipeline Manifold & Pigging Area,Pipeline Manifold & Pigging Station,Pressure Testing & Purging,Unsafe Condition,High-pressure hydrotest manifold pressurized to 4500 psi was missing safety whipchecks and securing safety cables on the flexible hose connections in the main crew walkway.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0040,2026-06-29,Duliajan Central Workshop,Site Facility,Routine Inspection & Housekeeping,Unsafe Act,Store helper was not wearing protective leather gloves while unboxing cardboard cartons containing paper stationery in the administrative warehouse.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0041,2026-03-01,Madhuban EPS & Separation Plant,Site Facility,Mechanical Maintenance & Piping,Unsafe Act,Control room operator installed a manual mechanical lock on emergency shutdown valve ESDV-101 to prevent recurring production line shutdown without obtaining signed Management of Change (MOC) bypass permit.,NO,72.8%,Bypassing Safety Controls,Permit to Work & Authorization Violation,PENDING_REVIEW
OIL-2026-0042,2026-03-28,Moran Gas Gathering Station (GGS-1),Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,Inspection tag on 5 kg CO2 fire extinguisher in the lunchroom was expired by two weeks. Pressure gauge indicator was within normal green range.,NO,72.8%,Hot Work,Hot Work Controls & Fire Watch Deficient,PENDING_REVIEW
OIL-2026-0043,2026-07-19,Duliajan Central Workshop,Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,Loose computer monitor power cable trailing across walkway behind reception desk in field office administration room.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0044,2026-01-18,Kusijan Water Injection Plant,Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,Emergency eye wash station dust covers were missing in the water testing laboratory. Water flow testing confirmed unit operates normally.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0045,2026-08-02,Shalmari Workover Rig WR-05,Rig Floor & Wellhead Area,Drilling & Well Construction,Near Miss,"While hoisting drill collars on Rig WR-05, an unlatched 4-inch casing tong jaw weighing 18 kg slipped from the derrick and fell 12 meters, landing 1.5 meters from the floor roughneck in the line of fire.",YES,92.4%,Hot Work,Standard Operational Anomaly,APPROVED
OIL-2026-0046,2026-04-16,Moran Gas Gathering Station (GGS-1),Crude Storage & Separation Unit,Hot Work & Fabrication,Near Miss,Welder initiated hot work arc welding on test separator skid while flammable hydrocarbon vapors were venting from nearby atmospheric vent pipe. Fire blanket was not deployed.,YES,88.2%,Hot Work,Hot Work Controls & Fire Watch Deficient,NOT_REQUIRED
OIL-2026-0047,2026-08-25,Tengakhat Compressor Station,HP Compressor House,Scaffolding & Rigging,Unsafe Condition,"Scaffold erected for high-pressure gas header inspection at Tengakhat Compressor Station had missing middle guard rails, loose wooden planks, and no toe-boards at a working height of 7.5 meters.",YES,89.6%,Working at Height,Fall Protection / Guardrails Inadequate,NOT_REQUIRED
OIL-2026-0048,2026-07-06,Shalmari Workover Rig WR-05,Site Facility,Routine Inspection & Housekeeping,Unsafe Act,Contractor employee was carrying two small 2-meter plastic conduit pipes across the yard without a helper.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0049,2026-02-27,Moran Gas Gathering Station (GGS-1),Crude Storage & Separation Unit,Hot Work & Fabrication,Near Miss,Welder initiated hot work arc welding on test separator skid while flammable hydrocarbon vapors were venting from nearby atmospheric vent pipe. Fire blanket was not deployed.,YES,88.2%,Hot Work,Hot Work Controls & Fire Watch Deficient,NOT_REQUIRED
OIL-2026-0050,2026-08-18,Duliajan Central Workshop,Site Facility,Crane & Mechanical Lifting,Near Miss,"During offloading of casing pipes from trailer, lifting shackle pin backed out due to missing split pin. One 2-ton casing pipe slipped out of the sling assembly, narrowly missing the banksman.",YES,88.2%,Safe Mechanical Lifting,Rigging & Sling Integrity Compromised,NOT_REQUIRED
OIL-2026-0051,2026-02-09,Digboi Production Facility & Tank Farm,Pipeline Manifold & Pigging Station,Crude & Material Transportation,Near Miss,"Heavy pipe delivery flatbed truck suffered brake failure while descending steep grade near Digboi bypass due to unperformed pre-trip brake inspection, narrowly avoiding rollover into pipeline easement.",NO,72.8%,Bypassing Safety Controls,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0052,2026-02-08,Dikom Pipeline Manifold & Pigging Area,Pipeline Manifold & Pigging Station,Pressure Testing & Purging,Unsafe Condition,High-pressure hydrotest manifold pressurized to 4500 psi was missing safety whipchecks and securing safety cables on the flexible hose connections in the main crew walkway.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0053,2026-07-13,Shalmari Workover Rig WR-05,Rig Floor & Wellhead Area,Drilling & Well Construction,Near Miss,"While hoisting drill collars on Rig WR-05, an unlatched 4-inch casing tong jaw weighing 18 kg slipped from the derrick and fell 12 meters, landing 1.5 meters from the floor roughneck in the line of fire.",YES,92.4%,Hot Work,Standard Operational Anomaly,NOT_REQUIRED
OIL-2026-0054,2026-07-14,Dikom Pipeline Manifold & Pigging Area,Pipeline Manifold & Pigging Station,Pressure Testing & Purging,Unsafe Condition,High-pressure hydrotest manifold pressurized to 4500 psi was missing safety whipchecks and securing safety cables on the flexible hose connections in the main crew walkway.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0055,2026-04-23,Naharkatiya Drilling Rig D-14,Rig Floor & Wellhead Area,Drilling & Well Construction,Unsafe Condition,Blowout preventer (BOP) hydraulic control accumulator low-pressure audible alarm buzzer was silenced and wire disconnected on the remote control panel on rig floor.,YES,98.0%,Bypassing Safety Controls,Gas Monitoring / Detection System Failure,NOT_REQUIRED
OIL-2026-0056,2026-04-06,Duliajan Central Workshop,Site Facility,Crane & Mechanical Lifting,Near Miss,"During offloading of casing pipes from trailer, lifting shackle pin backed out due to missing split pin. One 2-ton casing pipe slipped out of the sling assembly, narrowly missing the banksman.",YES,88.2%,Safe Mechanical Lifting,Rigging & Sling Integrity Compromised,APPROVED
OIL-2026-0057,2026-05-14,Naharkatiya Drilling Rig D-14,Rig Floor & Wellhead Area,Vessel & Tank Cleaning,Unsafe Act,"Technician climbed inside cellar pit on Rig D-14 to retrieve dropped wrench without an entry permit, gas test, or forced ventilation while drilling mud was degassing nearby.",NO,78.4%,Confined Space,Permit to Work & Authorization Violation,NOT_REQUIRED
OIL-2026-0058,2026-01-16,Kusijan Water Injection Plant,Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,Emergency eye wash station dust covers were missing in the water testing laboratory. Water flow testing confirmed unit operates normally.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0059,2026-02-01,Jorajan Wellhead Installation W-22,Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,Muster point directional sign board paint was faded and weathered by sunlight near the perimeter fence gate.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0060,2026-06-13,Naharkatiya Drilling Rig D-14,Rig Floor & Wellhead Area,Vessel & Tank Cleaning,Unsafe Act,"Technician climbed inside cellar pit on Rig D-14 to retrieve dropped wrench without an entry permit, gas test, or forced ventilation while drilling mud was degassing nearby.",NO,78.4%,Confined Space,Permit to Work & Authorization Violation,APPROVED
OIL-2026-0061,2026-04-22,Moran Gas Gathering Station (GGS-1),Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,Inspection tag on 5 kg CO2 fire extinguisher in the lunchroom was expired by two weeks. Pressure gauge indicator was within normal green range.,NO,72.8%,Hot Work,Hot Work Controls & Fire Watch Deficient,PENDING_REVIEW
OIL-2026-0062,2026-01-20,Duliajan Central Workshop,Central Maintenance Workshop,Routine Inspection & Housekeeping,Unsafe Condition,"Small puddle of rainwater and spilled detergent noticed near the workshop main entrance hallway, posing minor slipping hazard to office staff.",NO,75.6%,General UA/UC & Housekeeping,Standard Operational Anomaly,NOT_REQUIRED
OIL-2026-0063,2026-05-03,Duliajan Central Workshop,Central Maintenance Workshop,Routine Inspection & Housekeeping,Unsafe Condition,"Small puddle of rainwater and spilled detergent noticed near the workshop main entrance hallway, posing minor slipping hazard to office staff.",NO,75.6%,General UA/UC & Housekeeping,Standard Operational Anomaly,NOT_REQUIRED
OIL-2026-0064,2026-08-12,Madhuban EPS & Separation Plant,Site Facility,Mechanical Maintenance & Piping,Unsafe Act,Control room operator installed a manual mechanical lock on emergency shutdown valve ESDV-101 to prevent recurring production line shutdown without obtaining signed Management of Change (MOC) bypass permit.,NO,72.8%,Bypassing Safety Controls,Permit to Work & Authorization Violation,PENDING_REVIEW
OIL-2026-0065,2026-06-27,Moran Gas Gathering Station (GGS-1),Gas Gathering Station (GGS),Mechanical Maintenance & Piping,Near Miss,"During scheduled maintenance of crude booster pump P-102B at Moran GGS, technician began unbolting the pump casing before verifying that the 415V electrical breaker had been locked out and tagged. The circuit was still energized.",YES,93.8%,Energy Isolation,LOTO / Energy Isolation not verified,NOT_REQUIRED
OIL-2026-0066,2026-08-18,Moran Gas Gathering Station (GGS-1),Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,Inspection tag on 5 kg CO2 fire extinguisher in the lunchroom was expired by two weeks. Pressure gauge indicator was within normal green range.,NO,72.8%,Hot Work,Hot Work Controls & Fire Watch Deficient,PENDING_REVIEW
OIL-2026-0067,2026-07-15,Madhuban EPS & Separation Plant,Site Facility,Mechanical Maintenance & Piping,Unsafe Act,Control room operator installed a manual mechanical lock on emergency shutdown valve ESDV-101 to prevent recurring production line shutdown without obtaining signed Management of Change (MOC) bypass permit.,NO,72.8%,Bypassing Safety Controls,Permit to Work & Authorization Violation,PENDING_REVIEW
OIL-2026-0068,2026-07-19,Dikom Pipeline Manifold & Pigging Area,Pipeline Manifold & Pigging Station,Pressure Testing & Purging,Unsafe Condition,High-pressure hydrotest manifold pressurized to 4500 psi was missing safety whipchecks and securing safety cables on the flexible hose connections in the main crew walkway.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0069,2026-04-01,Duliajan Central Workshop,Site Facility,Routine Inspection & Housekeeping,Unsafe Act,Store helper was not wearing protective leather gloves while unboxing cardboard cartons containing paper stationery in the administrative warehouse.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0070,2026-03-20,Digboi Production Facility & Tank Farm,Crude Storage & Separation Unit,Vessel & Tank Cleaning,Near Miss,Contract cleaning crew entered Crude Storage Tank T-04 through bottom manhole without conducting continuous multi-gas atmospheric testing. Oxygen level was later tested at 18.2% and standby watch was absent.,NO,72.8%,Confined Space,Confined Space Entry Protocol Violated,PENDING_REVIEW
OIL-2026-0071,2026-02-13,Jorajan Wellhead Installation W-22,Crude Storage & Separation Unit,Crude & Material Transportation,Unsafe Act,Crude oil bowser tanker was tracked on IVMS speeding at 78 km/h in a 30 km/h restricted oilfield unpaved corridor during heavy rain. Driver was observed using mobile phone without wearing seatbelt.,NO,72.8%,Driving & Transportation,Driver Safety & Journey Control Non-Compliance,PENDING_REVIEW
OIL-2026-0072,2026-01-04,Digboi Production Facility & Tank Farm,Pipeline Manifold & Pigging Station,Crude & Material Transportation,Near Miss,"Heavy pipe delivery flatbed truck suffered brake failure while descending steep grade near Digboi bypass due to unperformed pre-trip brake inspection, narrowly avoiding rollover into pipeline easement.",NO,72.8%,Bypassing Safety Controls,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0073,2026-08-16,Madhuban EPS & Separation Plant,Site Facility,Routine Inspection & Housekeeping,Unsafe Act,Operator discarded used oily cleaning cotton rags in standard general waste bin instead of designated red hazardous waste container.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0074,2026-03-12,Madhuban EPS & Separation Plant,Site Facility,Routine Inspection & Housekeeping,Unsafe Act,Operator discarded used oily cleaning cotton rags in standard general waste bin instead of designated red hazardous waste container.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0075,2026-07-18,Moran Gas Gathering Station (GGS-1),Gas Gathering Station (GGS),Routine Inspection & Housekeeping,Unsafe Condition,"Fixed toxic gas detector at Moran GGS compressor hall had power cable disconnected, disabling early detection alarm for hazardous gas leak in confined compressor shed.",YES,89.6%,Toxic Gas & H2S Exposure,Gas Monitoring / Detection System Failure,APPROVED
OIL-2026-0076,2026-08-14,Digboi Production Facility & Tank Farm,Crude Storage & Separation Unit,Vessel & Tank Cleaning,Near Miss,Contract cleaning crew entered Crude Storage Tank T-04 through bottom manhole without conducting continuous multi-gas atmospheric testing. Oxygen level was later tested at 18.2% and standby watch was absent.,NO,72.8%,Confined Space,Confined Space Entry Protocol Violated,PENDING_REVIEW
OIL-2026-0077,2026-03-21,Duliajan Central Workshop,Site Facility,Routine Inspection & Housekeeping,Unsafe Act,Store helper was not wearing protective leather gloves while unboxing cardboard cartons containing paper stationery in the administrative warehouse.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0078,2026-06-16,Duliajan Central Workshop,Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,Loose computer monitor power cable trailing across walkway behind reception desk in field office administration room.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0079,2026-06-08,Moran Gas Gathering Station (GGS-1),Gas Gathering Station (GGS),Routine Inspection & Housekeeping,Unsafe Condition,"Fixed toxic gas detector at Moran GGS compressor hall had power cable disconnected, disabling early detection alarm for hazardous gas leak in confined compressor shed.",YES,89.6%,Toxic Gas & H2S Exposure,Gas Monitoring / Detection System Failure,APPROVED
OIL-2026-0080,2026-07-18,Naharkatiya Drilling Rig D-14,Site Facility,Crane & Mechanical Lifting,Unsafe Condition,Mobile 25-ton hydraulic crane was lifting a 6-ton mud pump skid using a severely frayed synthetic webbing sling showing cut fibers and without third-party load test certification. Crew was standing directly under suspended load.,YES,88.2%,Safe Mechanical Lifting,Rigging & Sling Integrity Compromised,APPROVED
OIL-2026-0081,2026-08-28,Kusijan Water Injection Plant,Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,Emergency eye wash station dust covers were missing in the water testing laboratory. Water flow testing confirmed unit operates normally.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
